School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lafayette (Wildwood),2.29,2.23,4.52,1,1,1
Francis Howell,2.16,2.14,4.3,2,2,2
St. Teresa's Academy,2.08,1.93,4.02,3,6,3
Lutheran South,2.01,1.98,3.98,4,5,4
Eureka,1.95,2.02,3.98,5,3,5
Blue Springs South,1.93,1.93,3.87,6,7,6
Pleasant Hill,1.85,2.0,3.85,7,4,7
Park Hill South,1.83,1.93,3.76,8,8,8
Helias Catholic,1.82,1.82,3.64,9,9,9
Ozark,1.75,1.75,3.5,10,11,10
St. Pius X (Festus),1.67,1.81,3.48,15,10,11
St. Joseph's Academy,1.72,1.74,3.46,11,12,12
Nerinx Hall,1.68,1.63,3.31,14,13,13
Ursuline Academy,1.7,1.58,3.27,12,15,14
St. Dominic,1.64,1.61,3.25,16,14,15
Kickapoo,1.68,1.56,3.24,13,16,16
Blue Springs,1.62,1.5,3.12,17,17,17
Cor Jesu Academy,1.56,1.48,3.04,18,18,18
Logan-Rogersville,1.47,1.48,2.95,21,19,19
Lee's Summit North,1.49,1.46,2.95,20,20,20
Timberland,1.42,1.44,2.87,22,21,21
Valle Catholic,1.4,1.44,2.85,24,22,22
Lee's Summit West,1.5,1.33,2.83,19,25,23
Ft. Zumwalt North,1.41,1.37,2.78,23,23,24
Lindbergh,1.38,1.3,2.67,25,30,25
Villa Duchesne,1.32,1.33,2.65,26,26,26
Webster Groves,1.3,1.33,2.62,27,27,27
St. Pius X (Kansas City),1.2,1.36,2.56,35,24,28
Blair Oaks,1.21,1.31,2.53,33,29,29
Parkway West,1.2,1.32,2.52,34,28,30
Nixa,1.28,1.22,2.5,29,32,31
Dexter,1.28,1.19,2.47,28,36,32
Kirkwood,1.23,1.2,2.44,30,34,33
Windsor (Imperial),1.17,1.25,2.42,37,31,34
Park Hill,1.19,1.19,2.38,36,35,35
Marquette,1.15,1.22,2.37,39,33,36
Washington,1.22,1.13,2.35,31,39,37
Lutheran St. Charles,1.16,1.15,2.31,38,37,38
Liberty,1.13,1.15,2.27,41,38,39
Carl Junction,1.12,1.09,2.21,42,42,40
Northwest (Cedar Hill),1.07,1.12,2.2,47,40,41
Grain Valley,1.22,0.97,2.18,32,51,42
Holt,1.11,1.03,2.14,43,45,43
Arcadia Valley,1.04,1.1,2.14,49,41,44
Farmington,1.13,0.99,2.13,40,49,45
Hermann,1.08,1.02,2.11,46,46,46
Notre Dame (Cape Girardeau),1.09,1.02,2.11,45,47,47
New Haven,1.03,1.04,2.07,50,44,48
Ste. Genevieve,1.07,0.99,2.06,48,50,49
Incarnate Word Academy,1.1,0.95,2.06,44,52,50
Kearney,0.97,1.05,2.02,55,43,51
Carthage,0.97,1.0,1.97,57,48,52
Perryville,1.02,0.92,1.95,52,55,53
Staley,1.01,0.94,1.95,53,53,54
Ft. Zumwalt West,1.03,0.91,1.94,51,56,55
Notre Dame de Sion,0.91,0.94,1.85,61,54,56
John Burroughs,0.93,0.9,1.83,60,57,57
Glendale,0.95,0.88,1.82,59,61,58
Lee's Summit,0.98,0.8,1.78,54,68,59
Oakville,0.97,0.78,1.75,56,69,60
Pacific,0.85,0.87,1.72,64,62,61
Francis Howell Central,0.95,0.77,1.72,58,70,62
Ladue Horton Watkins,0.86,0.85,1.71,63,64,63
Willard,0.78,0.89,1.67,76,58,64
Duchesne,0.79,0.88,1.67,74,60,65
Northland Christian,0.78,0.88,1.66,77,59,66
Advance,0.84,0.82,1.66,65,66,67
Liberty (Mountain View),0.78,0.85,1.64,75,63,68
Parkway Central,0.8,0.8,1.61,72,67,69
Jackson,0.88,0.72,1.6,62,80,70
Hillcrest,0.75,0.84,1.59,84,65,71
Jefferson City,0.81,0.74,1.55,70,75,72
St. Charles,0.77,0.76,1.54,79,72,73
Battle,0.83,0.7,1.53,66,83,74
Raymore-Peculiar,0.82,0.7,1.52,69,81,75
Hillsboro,0.8,0.72,1.52,73,79,76
Fatima,0.81,0.7,1.51,71,84,77
Bismarck,0.76,0.75,1.5,82,74,78
Winnetonka,0.76,0.73,1.5,80,76,79
Rockwood Summit,0.82,0.67,1.49,68,89,80
California,0.69,0.77,1.46,87,71,81
St. Paul Lutheran (Concordia),0.76,0.66,1.42,81,91,82
St. Vincent,0.66,0.76,1.42,92,73,83
Troy Buchanan,0.82,0.59,1.41,67,100,84
Veritas Christian Academy,0.75,0.65,1.4,83,93,85
Oak Park,0.74,0.65,1.39,86,94,86
Westminster Christian Academy,0.69,0.69,1.38,88,86,87
Lebanon,0.74,0.63,1.37,85,95,88
Belton,0.68,0.69,1.37,90,87,89
Aurora,0.65,0.7,1.36,94,82,90
Bloomfield,0.67,0.69,1.36,91,85,91
Ft. Zumwalt East,0.77,0.58,1.35,78,101,92
Republic,0.62,0.73,1.35,98,78,93
Lesterville,0.64,0.66,1.3,96,90,94
Bernie,0.56,0.73,1.29,108,77,95
Winona,0.6,0.68,1.28,100,88,96
Eminence,0.65,0.61,1.27,93,97,97
Festus,0.6,0.65,1.25,101,92,98
Seckman,0.61,0.62,1.23,99,96,99
Branson,0.6,0.61,1.21,104,99,100
Camdenton,0.6,0.57,1.17,103,102,101
Jefferson (Festus),0.69,0.45,1.14,89,115,102
Saxony Lutheran,0.58,0.53,1.11,105,104,103
Fair Grove,0.55,0.52,1.07,109,106,104
Clever,0.54,0.51,1.05,110,107,105
Santa Fe,0.58,0.47,1.05,106,111,106
Herculaneum,0.6,0.44,1.04,102,117,107
Nevada,0.64,0.38,1.02,97,120,108
North Kansas City,0.57,0.44,1.02,107,116,109
O'Hara,0.64,0.38,1.02,95,122,110
Holden,0.4,0.61,1.01,132,98,111
Mehlville,0.53,0.47,1.0,112,112,112
Hannibal,0.5,0.51,1.0,115,108,113
Calvary Lutheran,0.46,0.52,0.99,120,105,114
Lutheran (Kansas City),0.53,0.46,0.98,113,113,115
Adrian,0.44,0.53,0.97,124,103,116
Oak Grove,0.51,0.45,0.96,114,114,117
Francis Howell North,0.48,0.48,0.96,117,110,118
Trinity Catholic,0.54,0.38,0.92,111,119,119
