School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lutheran South,2.01,1.98,3.98,1,2,1
Pleasant Hill,1.85,2.0,3.85,2,1,2
Helias Catholic,1.82,1.82,3.64,3,3,3
Logan-Rogersville,1.47,1.48,2.95,4,4,4
Villa Duchesne,1.32,1.33,2.65,5,6,5
St. Pius X (Kansas City),1.2,1.36,2.56,8,5,6
Blair Oaks,1.21,1.31,2.53,7,7,7
Dexter,1.28,1.19,2.47,6,9,8
Windsor (Imperial),1.17,1.25,2.42,9,8,9
Lutheran St. Charles,1.16,1.15,2.31,10,10,10
Notre Dame (Cape Girardeau),1.09,1.02,2.11,12,11,11
Ste. Genevieve,1.07,0.99,2.06,13,12,12
Incarnate Word Academy,1.1,0.95,2.06,11,13,13
Perryville,1.02,0.92,1.95,14,14,14
John Burroughs,0.93,0.9,1.83,15,15,15
Pacific,0.85,0.87,1.72,16,17,16
Duchesne,0.79,0.88,1.67,17,16,17
St. Charles,0.77,0.76,1.54,18,19,18
California,0.69,0.77,1.46,20,18,19
Veritas Christian Academy,0.75,0.65,1.4,19,22,20
Aurora,0.65,0.7,1.36,21,20,21
Festus,0.6,0.65,1.25,24,21,22
Herculaneum,0.6,0.44,1.04,25,25,23
Nevada,0.64,0.38,1.02,23,26,24
O'Hara,0.64,0.38,1.02,22,27,25
Oak Grove,0.51,0.45,0.96,26,24,26
MICDS,0.45,0.35,0.8,28,29,27
Warrenton,0.47,0.31,0.78,27,30,28
Winfield,0.29,0.49,0.77,36,23,29
Warrensburg,0.35,0.38,0.73,33,28,30
Springfield Catholic,0.39,0.29,0.69,32,32,31
Bolivar,0.45,0.23,0.68,29,38,32
Marshfield,0.4,0.26,0.66,31,35,33
Osage,0.42,0.23,0.65,30,39,34
Potosi,0.26,0.29,0.55,37,33,35
Affton,0.23,0.31,0.54,40,31,36
Excelsior Springs,0.29,0.24,0.53,35,37,37
Chillicothe,0.24,0.28,0.52,39,34,38
Notre Dame (St. Louis),0.32,0.19,0.51,34,41,39
Eldon,0.21,0.22,0.42,42,40,40
Lafayette (St. Joseph),0.26,0.12,0.37,38,43,41
Visitation Academy,0.07,0.26,0.33,47,36,42
Fredericktown,0.16,0.12,0.27,44,42,43
Odessa,0.21,0.06,0.27,41,47,44
Central (Park Hills),0.16,0.07,0.23,43,46,45
Mt. Vernon,0.11,0.11,0.22,45,44,46
Bishop DuBourg,0.1,-0.04,0.06,46,49,47
Mountain Grove,-0.03,0.07,0.03,53,45,48
Savannah,-0.02,-0.04,-0.05,49,50,49
Southern Boone,-0.02,-0.04,-0.06,51,52,50
Hollister,-0.02,-0.04,-0.06,52,51,51
St. Clair,0.02,-0.1,-0.08,48,55,52
Reeds Spring,-0.02,-0.08,-0.1,50,54,53
East Newton,-0.09,-0.07,-0.17,55,53,54
Pembroke Hill,-0.17,-0.03,-0.2,57,48,55
Wright City,-0.07,-0.26,-0.34,54,62,56
Orchard Farm,-0.13,-0.25,-0.38,56,59,57
North County,-0.18,-0.23,-0.41,59,57,58
Boonville,-0.2,-0.24,-0.44,60,58,59
Miller Career Academy,-0.26,-0.21,-0.47,62,56,60
Maryville,-0.17,-0.33,-0.51,58,66,61
Buffalo,-0.25,-0.26,-0.51,61,60,62
Seneca,-0.3,-0.27,-0.57,65,63,63
Marshall,-0.28,-0.34,-0.62,64,67,64
Owensville,-0.34,-0.3,-0.64,66,65,65
Kennett,-0.26,-0.38,-0.64,63,70,66
Harrisonville,-0.36,-0.29,-0.65,68,64,67
Cassville,-0.4,-0.26,-0.66,70,61,68
Central (New Madrid County),-0.35,-0.38,-0.74,67,69,69
Soldan International Studies,-0.41,-0.34,-0.75,71,68,70
Union,-0.44,-0.42,-0.86,72,72,71
Benton,-0.38,-0.51,-0.89,69,74,72
Clinton,-0.58,-0.42,-1.0,73,71,73
Bayless,-0.6,-0.49,-1.09,75,73,74
Lincoln College Prep,-0.59,-0.64,-1.22,74,77,75
Clayton,-0.75,-0.63,-1.38,79,76,76
St. Charles West,-0.8,-0.62,-1.42,81,75,77
Cameron,-0.7,-0.79,-1.49,77,79,78
Richmond,-0.65,-0.86,-1.5,76,82,79
Mexico,-0.72,-0.84,-1.56,78,81,80
Cuba,-0.75,-0.82,-1.57,80,80,81
Ava,-0.89,-0.75,-1.64,84,78,82
St. James,-0.82,-0.91,-1.74,82,84,83
Fulton,-0.88,-0.95,-1.83,83,85,84
Doniphan,-0.92,-0.95,-1.87,85,86,85
Kirksville,-1.04,-0.87,-1.91,86,83,86
Center,-1.11,-1.09,-2.19,87,87,87
Cristo Rey,-1.19,-1.13,-2.32,88,89,88
McCluer South-Berkeley,-1.22,-1.18,-2.4,89,91,89
Monett,-1.26,-1.16,-2.42,90,90,90
Northeast (Kansas City),-1.35,-1.12,-2.47,93,88,91
Salem,-1.29,-1.24,-2.53,92,92,92
Jennings,-1.27,-1.31,-2.58,91,94,93
University City,-1.39,-1.27,-2.66,94,93,94
Hogan Prep Academy Charter,-1.43,-1.41,-2.84,95,97,95
Roosevelt,-1.49,-1.36,-2.85,97,95,96
Lift for Life Academy Charter,-1.46,-1.41,-2.87,96,96,97
Normandy Collaborative,-1.62,-1.63,-3.25,99,98,98
East (Kansas City),-1.56,-1.81,-3.38,98,100,99
Central (Kansas City),-1.83,-1.77,-3.59,100,99,100
Southeast,-1.97,-2.1,-4.07,101,102,101
Confluence Prep Academy Charter,-2.18,-2.05,-4.23,102,101,102
Guadalupe Centers Charter,-2.45,-2.35,-4.8,103,103,103
