Date,Home Team,Home Score,Away Team,Away Score
2016-08-16,Bismarck,1,Poplar Bluff,1
2016-08-19,Belle,3,Chamois,0
2016-08-19,Hancock,2,Cleveland NJROTC,0
2016-08-19,Parkway West,0,Cor Jesu Academy,2
2016-08-19,Hazelwood West,0,Ft. Zumwalt South,2
2016-08-19,Waynesville,0,Glendale,2
2016-08-19,Westminster Christian Academy,1,Incarnate Word Academy,2
2016-08-19,St. Joseph's Academy,2,Jefferson City,0
2016-08-19,Pattonville,0,Ladue Horton Watkins,2
2016-08-19,South Iron,0,Lesterville,2
2016-08-19,Father Tolton,0,Lutheran St. Charles,2
2016-08-19,Washington,0,Marquette,2
2016-08-19,Holcomb,0,Portageville,2
2016-08-19,Bunceton,0,Sarcoxie,2
2016-08-19,Bunker,0,Valley,2
2016-08-20,St. Pius X (Festus),2,Affton,0
2016-08-20,Pacific,2,Affton,0
2016-08-20,Hazelwood Central,2,Affton,0
2016-08-20,DeSoto,2,Affton,0
2016-08-20,Clayton,0,Affton,2
2016-08-20,Hazelwood Central,2,Clayton,0
2016-08-20,Windsor (Imperial),2,Clayton,0
2016-08-20,Mehlville,2,Clayton,0
2016-08-20,St. Pius X (Festus),2,DeSoto,0
2016-08-20,Pacific,2,DeSoto,0
2016-08-20,Hazelwood Central,1,DeSoto,2
2016-08-20,Clayton,0,DeSoto,2
2016-08-20,Windsor (Imperial),2,Hazelwood Central,0
2016-08-20,Mehlville,1,Hazelwood Central,1
2016-08-20,St. Joseph's Academy,2,Jefferson City,0
2016-08-20,Washington,0,Marquette,2
2016-08-20,St. Pius X (Festus),2,Mehlville,0
2016-08-20,Pacific,2,Mehlville,0
2016-08-20,Windsor (Imperial),1,Mehlville,1
2016-08-20,St. Pius X (Festus),2,Pacific,0
2016-08-20,Windsor (Imperial),2,Pacific,0
2016-08-20,St. Pius X (Festus),2,Windsor (Imperial),0
2016-08-22,Carl Junction,2,Aurora,0
2016-08-22,Union,0,Ava,2
2016-08-22,Zalma,1,Bell City,1
2016-08-22,Oak Ridge,1,Bell City,1
2016-08-22,Meadow Heights,0,Bell City,2
2016-08-22,Richland (Essex),0,Bernie,2
2016-08-22,Lebanon,2,Branson,1
2016-08-22,Hallsville,2,Brookfield,0
2016-08-22,Winona,2,Cabool,0
2016-08-22,Bolivar,0,Camdenton,2
2016-08-22,Portageville,2,Campbell,0
2016-08-22,Odessa,2,Center,0
2016-08-22,Sikeston,2,Central (Cape Girardeau),0
2016-08-22,Warsaw,2,Clinton,0
2016-08-22,Charleston,0,Cooter,2
2016-08-22,Southeast,0,Cristo Rey,2
2016-08-22,Bishop DuBourg,2,Crossroads College Preparatory,0
2016-08-22,Arcadia Valley,0,Dexter,2
2016-08-22,Osage,2,Dixon,0
2016-08-22,Affton,2,Fox,0
2016-08-22,Holt,2,Francis Howell Central,1
2016-08-22,Summersville,0,Gideon,2
2016-08-22,Exeter,0,Golden City,2
2016-08-22,Fatima,2,Hickman,0
2016-08-22,Potosi,1,Hillsboro,2
2016-08-22,Valley,0,Lesterville,2
2016-08-22,Metro,2,Lutheran North,0
2016-08-22,Cardinal Ritter,0,Lutheran St. Charles,2
2016-08-22,Francis Howell,2,Marquette,0
2016-08-22,Benton,0,Maryville,2
2016-08-22,Zalma,0,Meadow Heights,2
2016-08-22,Oak Ridge,1,Meadow Heights,1
2016-08-22,John F. Kennedy,0,MICDS,2
2016-08-22,Hermann,2,Montgomery County,0
2016-08-22,Conway,0,Mountain Grove,2
2016-08-22,Herculaneum,2,North County,1
2016-08-22,St. James,2,North Platte,1
2016-08-22,Zalma,1,Oak Ridge,1
2016-08-22,Oak Grove,1,O'Hara,2
2016-08-22,Kennett,1,Oran,2
2016-08-22,Staley,1,Park Hill South,2
2016-08-22,Kirkwood,2,Parkway South,0
2016-08-22,Billings,0,Pierce City,2
2016-08-22,Liberty,0,Pleasant Hill,2
2016-08-22,St. Clair,1,Risco,2
2016-08-22,Salem,0,Rolla,2
2016-08-22,North Callaway,2,Sarcoxie,1
2016-08-22,Niangua,0,School of the Ozarks,2
2016-08-22,Clarkton,1,Senath-Hornersville,2
2016-08-22,Windsor,2,Skyline,0
2016-08-22,Mexico,0,Southern Boone,2
2016-08-22,Caruthersville,2,Southland,1
2016-08-22,Bourbon,0,St. Clair,2
2016-08-22,New Haven,2,St. Joseph's Academy,0
2016-08-22,Warsaw,2,St. James,0
2016-08-22,Lee's Summit North,0,St. Teresa's Academy,2
2016-08-22,Festus,0,Ste. Genevieve,2
2016-08-22,Licking,0,Webb City,2
2016-08-22,Eldon,2,Tipton,0
2016-08-22,Cameron,2,Trenton,0
2016-08-22,Brentwood,0,Visitation Academy,2
2016-08-22,Lexington,2,Wellington-Napoleon,1
2016-08-22,Central (Park Hills),0,Windsor (Imperial),2
2016-08-22,Bowling Green,0,Winfield,2
2016-08-23,Saxony Lutheran,0,Advance,2
2016-08-23,Leopold,0,Advance,2
2016-08-23,Woodland,1,Advance,1
2016-08-23,Central (Park Hills),0,Arcadia Valley,2
2016-08-23,Springfield Catholic,2,Ava,0
2016-08-23,Archie,2,Ballard,0
2016-08-23,Midway,2,Barstow,1
2016-08-23,Principia,1,Bayless,1
2016-08-23,Valley Park,0,Bayless,2
2016-08-23,Maplewood-Richmond Hts.,1,Bayless,1
2016-08-23,Calvary Lutheran,2,Belle,0
2016-08-23,Sikeston,0,Bernie,2
2016-08-23,DeSoto,0,Bismarck,2
2016-08-23,Greenville,0,Bloomfield,2
2016-08-23,Grain Valley,0,Blue Springs South,3
2016-08-23,Osceola,1,Bolivar,2
2016-08-23,Owensville,2,Bourbon,0
2016-08-23,Galena,2,Bradleyville,0
2016-08-23,Liberal,2,Bronaugh,0
2016-08-23,Willard,2,Buffalo,0
2016-08-23,La Monte,2,Bunceton,0
2016-08-23,El Dorado Springs,2,Butler,1
2016-08-23,Eldon,0,Camdenton,2
2016-08-23,Santa Fe,2,Carrollton,0
2016-08-23,Charleston,0,Caruthersville,2
2016-08-23,Blue Eye,0,Cassville,2
2016-08-23,Pembroke Hill,2,Center,0
2016-08-23,Southeast,0,Central (Kansas City),2
2016-08-23,Parkview,1,Central (Springfield),2
2016-08-23,Wheaton,2,Chadwick,0
2016-08-23,Fatima,3,Chamois,0
2016-08-23,Eminence,2,Clearwater,0
2016-08-23,Marionville,0,Clever,2
2016-08-23,Holden,2,Cole Camp,0
2016-08-23,Clarkton,0,Cooter,2
2016-08-23,Lift for Life Academy Charter,0,Crossroads College Preparatory,2
2016-08-23,New Haven,2,Cuba,0
2016-08-23,Risco,2,Delta (Deering),0
2016-08-23,Versailles,2,East (Kansas City),0
2016-08-23,Maryville,2,East Buchanan,0
2016-08-23,New Heights Christian,2,Exeter,0
2016-08-23,Pacific,2,Farmington,0
2016-08-23,Union,0,Forsyth,2
2016-08-23,Washington,0,Francis Howell Central,2
2016-08-23,Ft. Zumwalt East,2,Francis Howell North,0
2016-08-23,Winfield,0,Ft. Zumwalt South,2
2016-08-23,Holt,0,Ft. Zumwalt West,2
